id,exp_date,sub_age,sub_sex,aq_score,aq_category,block,trial,action_category,action,angle,recog_acc,recog_rt,conf_choice,conf_rt,recog_corr_box,recog_resp_box,days_elapsed
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,10,20,complex actions,To Fight,135,1,9.0477632,1,1.15963435,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,11,21,complex actions,To Fight,0,1,14.95082651,0,,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,11,22,simple actions,To Punch,180,0,17.59720055,1,1.26804434,4,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,12,23,complex actions,To Hurry up,135,1,7.43542579,1,1.40072927,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,12,24,simple actions,To Hammer,0,1,10.82287714,0,,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,13,25,complex actions,To Play a Sport,135,0,13.20315893,0,,4,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,13,26,simple actions,To Lift,0,1,3.3230764,1,1.05192992,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,14,27,simple actions,To Grab,135,0,13.51792619,0,,2,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,14,28,complex actions,To Dance,180,1,10.99839039,1,1.0927902,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,15,29,complex actions,To Play a Sport,0,0,13.97846808,0,,1,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,15,30,simple actions,To Point,180,1,5.99508681,1,1.34475797,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,16,31,complex actions,To Play a Sport,180,1,6.98378388,1,1.98028263,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,16,32,simple actions,To Wave,0,0,10.98538373,0,,4,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,17,33,simple actions,To Push,0,0,11.91495341,0,,3,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,17,34,complex actions,To Argue,135,1,10.28324275,1,0.94341778,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,18,35,simple actions,To Hammer,180,1,7.79674936,0,,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,18,36,complex actions,To Get Attention,247,1,7.90880528,1,1.8599984,1,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,19,37,simple actions,To Hammer,135,1,9.32491932,0,,4,4,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,19,38,complex actions,To Dance,247,1,15.94844188,1,1.3765059,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,20,39,complex actions,To Fight,247,1,8.32785934,1,1.59351724,1,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,20,40,simple actions,To Punch,247,0,18.08783929,0,,1,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,21,41,complex actions,To Fight,180,1,9.05045044,1,0.93455672,1,1,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,21,42,simple actions,To Grab,0,1,8.14012544,0,,3,3,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,22,43,complex actions,To Hurry up,180,1,8.51318697,1,0.92540647,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,22,44,simple actions,To Point,247,1,6.74469179,0,,2,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,23,45,simple actions,To Jump,180,0,11.61493518,0,,1,2,75
d290105c8bca9f1a8fe2a126da9b6f8e,04-Apr-2016,20.96692056,f,11,low symptoms,23,46,complex actions,To Argue,180,1,14.63495898,1,1.07775253,4,4,75
